ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
0.803278689,0.265917603,0.083550914,0.182058047,0.126582278,0,0,1,1,0.096153846,0,0.6,1,0.015151515,0,0,0.055201699,0.0625,0.136363636,0.055555556,1,1
0.655737705,0.310861423,0.007832898,0.192612137,0.417721519,0,0,1,1,0.355769231,0.157894737,0.35,0,0.03030303,0.03030303,0.086206897,0.13163482,0.21875,0.045454545,0.111111111,0.69,1
0.737704918,0.22721598,0.020887728,0.18469657,0.189873418,0,0,0.94,0.385542169,0.153846154,0.105263158,0.19,0,0.015151515,0.015151515,0.030172414,0.149066713,0.09375,0,0,0.57,0
0.918032787,0.589263421,0.127937337,0.474934037,0.101265823,0,0,1,1,0.144230769,0,0,0.066483704,0,0,0.193254185,0.149066713,0.140231879,0.071088683,0.081335314,0.723650918,0
0.852459016,0.220973783,0.007832898,0.163588391,0.253164557,0,0,1,1,0.25,0.105263158,0.4,0,0.03030303,0.03030303,0.038793103,0.161358811,0.03125,0.136363636,0,0.5,1
0.409836066,0.132334582,0.010443864,0.118733509,0.139240506,0.105263158,0.052631579,0.57,0.072289157,0.134615385,0.157894737,0.71,0,0.060606061,0.045454545,0,0.157112527,0.03125,0.136363636,0.081335314,0.83,0
0.950819672,0.426966292,0.067885117,0.372031662,0.202531646,0,0,1,1,0.153846154,0,0.38,0.291666667,0,0,0.00862069,0.141223485,0.09375,0.06351081,0,0.38,1
0.655737705,0.553058677,0.039164491,0.319261214,0.151898734,0,0,0.83,0.253012048,0.115384615,0,0.42,0,0.015151515,0.015151515,0.237068966,0.141223485,0.125,0,0.055555556,1,1
0.918032787,0.337078652,0.057441253,0.321899736,0.202531646,0,0,1,1,0.153846154,0,0.25,0.041666667,0.015151515,0.015151515,0.038793103,0.091295117,0.0625,0.045454545,0,0.4,0
0.770491803,0.410736579,0.033942559,0.422163588,0.189873418,0,0,1,1,0.144230769,0,0.33,0,0,0,0.146551724,0.152866242,0.125,0.045454545,0,0.75,1
0.704918033,0.118601748,0.015665796,0.081794195,0.265822785,0,0,1,1,0.153846154,0.315789474,0.52,0.291666667,0,0,0.004310345,0.121019108,0.0625,0.045454545,0,0.4,1
0.37704918,0.240948814,0.005221932,0.139841689,0.506329114,0,0,0.95,0.084337349,0.798076923,0.105263158,0.37,0.041666667,0.060606061,0.060606061,0.163793103,0.176220807,0.25,0.227272727,0.222222222,0.71,1
0.655737705,0.335830212,0.146214099,0.37994723,0.101265823,0.052631579,0.052631579,0.88,0.56626506,0.076923077,0,0.38,0,0,0,0,0.149066713,0.03125,0.045454545,0,0.75,0
0.540983607,0.213483146,0.039164491,0.218997361,0.265822785,0,0,0.95,0.192771084,0.211538462,0,0.14,0,0.075757576,0.075757576,0.284482759,0.149066713,0.0625,0,0.111111111,0.33,0
0.508196721,0.245942572,0.010443864,0.17414248,0.405063291,0.105263158,0.052631579,0.91,0.084337349,0.326923077,0.157894737,0.53,0.458333333,0,0,0.232758621,0.212314225,0.03125,0.090909091,0.055555556,0.57,0
0.573770492,0.09113608,0.010443864,0.092348285,0.392405063,0.052631579,0.052631579,1,1,0.307692308,0.210526316,0.23,0,0.015151515,0.015151515,0.056034483,0.184713376,0.1875,0.090909091,0.055555556,0.5,1
0.459016393,0.262172285,0.005221932,0.150395778,0.46835443,0.052631579,0.052631579,0.85,0.144578313,0.451923077,0.157894737,0.15,1,0.03030303,0.03030303,0.142241379,0.149066713,0.375,0.090909091,0.055555556,0.7,0
