age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,income,marital-status_Non-Married,native-country_US,occupation_Other,race_White,relationship_Non-Husband,sex_Male,workclass_Private
0.315068493,0.230798686,0.333333333,0,0,0.346938776,0,1,1,0,1,1,0,1
0.328767123,0.232480558,0.8,0,0,0.346938776,0,1,1,1,1,1,1,0
0.506849315,0.229667516,0.6,0,0,0.346938776,0,1,1,0,1,1,0,1
0.671232877,0.079284088,0.8,0,0,0.051020408,0,0,1,1,1,0,1,1
0.315068493,0.210744766,0.6,0,0,0.397959184,0,0,1,1,1,0,1,1
0.287671233,0.160172923,0.733333333,0.03103031,0,0.397959184,1,0,1,1,1,0,1,1
0.02739726,0.161376483,0.6,0,0,0.397959184,0,1,1,0,1,1,1,1
0.273972603,0.108522679,0.6,0,0,0.5,0,0,1,1,0,0,1,1
0.465753425,0.033140182,0.533333333,0,0,0.397959184,1,0,1,1,1,0,1,1
0.123287671,0.010519479,0.8,0,0,0.397959184,0,1,1,1,1,1,1,0
0.136986301,0.037959157,0.8,0,0,0.397959184,0,1,1,0,1,1,0,0
0.575342466,0.205492807,0.533333333,0,0,0.448979592,0,0,0,1,1,0,1,1
0.273972603,0.116889417,0.6,0,0,0.551020408,0,0,1,0,0,0,1,1
0.671232877,0.031148456,0.4,0,0,0.397959184,1,1,1,1,1,1,0,0
0.328767123,0.074649807,0.533333333,0,0,0.479591837,0,1,1,1,1,1,1,1
0,0.141290766,0.266666667,0,0,0.397959184,0,0,1,1,1,0,1,1
0.136986301,0.10194606,0.666666667,0,0,0.56122449,0,1,1,1,1,1,1,0
0.04109589,0.124725072,0.533333333,0,0,0.397959184,0,1,1,1,1,1,1,1
0.712328767,0.117315635,0.4,0,0,0.193877551,0,0,1,0,1,0,1,1
0.506849315,0.119003596,0.533333333,0,0,0.193877551,0,1,0,1,1,1,0,1
0.424657534,0.228467338,0.666666667,0,0,0.397959184,0,1,1,0,1,1,1,1
0.01369863,0.068262618,0.4,0,0,0.244897959,0,1,1,1,1,1,1,1
0.082191781,0.059575879,0.533333333,0,0,0.142857143,0,1,1,1,1,1,1,1
0.424657534,0.21400297,0.533333333,0,0,0.397959184,0,1,1,1,1,1,1,0
0.04109589,0.127099718,0.533333333,0,0,0.37755102,0,1,1,1,1,1,0,1
0.657534247,0.043134668,0.533333333,0,0,0,1,0,1,1,1,0,1,1
0.438356164,0.089378025,0.4,0,0,0.37755102,0,1,1,0,1,1,0,1
0.356164384,0.10077362,0.533333333,0,0,0.448979592,1,0,1,1,1,0,1,0
0.493150685,0.236192718,0.533333333,0,0,0.397959184,1,0,1,0,1,0,1,1
0.082191781,0.064206777,0.6,0,0,0.193877551,0,1,1,0,0,1,1,1
