age,two_year_recid,priors_count,length_of_stay,score,c_charge_degree_M,race_Other,sex_Male
0.205128205,1,0.078947368,0.00375,1,1,0,1
0.243589744,0,0.078947368,0.0025,1,1,0,1
0.141025641,1,0.026315789,0.00125,1,1,0,1
0.294871795,0,0.026315789,0.00375,1,0,1,1
0.474358974,0,0,0.00125,1,0,1,1
0.153846154,0,0.105263158,0.0025,1,1,0,1
0.435897436,0,0,0.0025,1,0,1,1
0.166666667,0,0.078947368,0.00125,1,0,0,1
0.423076923,0,0,0.0025,1,1,0,1
0.256410256,0,0.105263158,0.00125,1,1,0,1
0.102564103,0,0.078947368,0.0025,1,0,0,1
0.076923077,0,0,0.00125,1,1,1,1
0.064102564,1,0.078947368,0.00125,1,1,0,1
0.346153846,0,0.078947368,0.04625,0,0,0,1
0.064102564,0,0.052631579,0.045,1,0,1,1
0.205128205,0,0,0.14625,1,0,1,1
0.076923077,1,0.078947368,0.00125,1,0,0,1
0.435897436,0,0,0.0025,1,0,0,1
0.243589744,1,0.078947368,0.00125,1,1,0,1
0.192307692,0,0.026315789,0.00125,1,1,1,0
0.076923077,1,0.026315789,0.095,1,0,0,1
0.307692308,0,0.026315789,0.00125,1,0,0,1
0.153846154,0,0,0.00125,1,0,1,1
0.102564103,0,0,0.00125,1,1,1,0
0.128205128,0,0.052631579,0.00875,1,1,0,1
0.153846154,0,0,0.00125,1,0,0,1
0.128205128,1,0.078947368,0.2075,0,0,1,1
0.205128205,1,0.131578947,0.0125,1,0,0,0
0.256410256,1,0.078947368,0.0025,0,0,1,1
0.115384615,1,0.078947368,0.005,0,0,0,0
0.102564103,0,0,0.0025,1,1,1,1
0.282051282,1,0,0.01125,1,0,1,1
0.205128205,1,0.394736842,0.005,0,0,1,0
0.076923077,0,0,0.00125,1,0,0,0
0.58974359,0,0.026315789,0.00125,1,1,1,1
0.166666667,1,0.078947368,0.025,0,1,0,1
0.064102564,1,0.105263158,0.00375,0,1,1,1
0.256410256,0,0,0.19875,1,0,1,1
0.230769231,1,0.105263158,0.0025,1,1,0,0
0.115384615,0,0,0.00125,1,0,0,0
0.166666667,0,0,0.00125,1,0,0,1
0.243589744,0,0,0.00375,1,1,0,1
0.128205128,0,0.131578947,0.17125,0,0,0,1
0.166666667,0,0,0.00125,1,1,1,1
0.128205128,1,0.052631579,0.0025,1,0,0,1
0.397435897,0,0.210526316,0.01125,1,0,1,0
0.076923077,0,0,0.00125,1,0,0,1
0.192307692,1,0.026315789,0.0025,1,1,0,1
0.051282051,0,0,0.0025,1,0,1,1
0.487179487,0,0.078947368,0.00125,1,0,1,0
0.448717949,1,0,0.005,1,1,1,1
0.025641026,0,0,0.005,1,1,1,1
0.653846154,0,0.578947368,0.0025,1,1,0,1
0.076923077,0,0.052631579,0.00375,1,0,1,0
0.192307692,1,0.052631579,0,1,1,0,1
0.166666667,1,0,0,0,0,1,1
0.166666667,1,0.052631579,0.00125,1,0,0,0
0.371794872,0,0.105263158,0.00125,1,0,0,1
0,1,0.105263158,0.03,1,0,0,1
0.153846154,1,0.552631579,0.00125,1,0,0,1
0.58974359,0,0,0.00125,1,0,1,0
0.153846154,1,0.052631579,0.0075,1,1,1,1
0.41025641,0,0.263157895,0.00125,1,0,1,1
0.397435897,0,0.052631579,0.10375,1,1,1,0
0.051282051,1,0.026315789,0.0025,1,0,1,1
0.435897436,0,0.026315789,0.00125,1,0,0,0
0.423076923,0,0.105263158,0.00125,1,1,1,1
0.230769231,1,0.684210526,0.00125,0,0,0,1
0.243589744,0,0,0.00125,0,0,0,1
0.397435897,0,0.105263158,0.005,1,0,1,0
0.346153846,1,0.5,0.0025,1,0,1,1
0.051282051,1,0.131578947,0.025,0,0,0,1
0.038461538,0,0,0.00375,1,0,1,0
0.474358974,0,0,0.00125,1,0,1,1
0.128205128,0,0.026315789,0.0025,1,1,1,1
0.128205128,0,0.131578947,0.00125,1,0,0,1
0.294871795,1,0.052631579,0.2025,0,0,1,1
0.294871795,0,0,0,1,1,1,1
0.192307692,0,0.052631579,0.0275,1,1,1,1
0.525641026,1,0.210526316,0.01125,0,0,0,1
0.384615385,0,0.026315789,0.00125,1,0,0,1
0.217948718,0,0.210526316,0.01125,1,1,0,1
0.192307692,1,0.289473684,0.05625,1,0,0,1
0.243589744,1,0.289473684,0.00125,1,1,0,1
0.397435897,1,0.052631579,0.015,1,1,1,0
0.038461538,0,0.026315789,0.0025,0,0,0,1
0.461538462,0,0.236842105,0.0025,1,1,0,1
0.025641026,1,0,0.0025,1,0,0,1
0.551282051,0,0.026315789,0.00125,1,1,1,1
0.064102564,1,0.105263158,0.00125,0,0,0,1
0.141025641,1,0.078947368,0.07625,0,1,0,1
0.051282051,0,0.026315789,0.0025,1,0,0,1
0.358974359,0,0,0,1,1,1,0
0.128205128,0,0,0.00125,1,0,1,0
0.320512821,1,0.157894737,0.0125,1,0,1,1
0.166666667,1,0.026315789,0.0025,1,1,1,0
0.435897436,1,0.421052632,0.015,0,0,1,1
0.230769231,1,0.052631579,0.00375,1,0,0,1
0.179487179,1,0.157894737,0.00625,1,0,0,1
0.141025641,0,0,0.00125,1,0,1,0
0.115384615,0,0.078947368,0,1,1,1,1
0.307692308,0,0.078947368,0.0025,1,0,0,1
0.051282051,1,0.026315789,0.00125,1,0,0,1
0.076923077,0,0,0.00125,1,1,1,0
0.179487179,0,0.236842105,0.00125,0,0,0,1
0.141025641,0,0,0,1,1,1,0
0.141025641,1,0.184210526,0.00375,0,0,0,1
0.141025641,1,0.210526316,0.00125,0,1,0,1
0.153846154,0,0.052631579,0.0025,1,0,1,1
0.115384615,0,0.026315789,0.00125,1,0,1,1
0.230769231,1,0.052631579,0.0025,1,1,1,1
0.025641026,1,0.026315789,0.02,0,0,1,1
0.128205128,1,0.157894737,0.00125,1,1,0,1
0.205128205,1,0.131578947,0.00125,1,0,1,1
0.051282051,0,0.026315789,0.00125,1,0,1,0
0.064102564,1,0,0.00375,0,0,0,1
0.41025641,1,0.052631579,0.00125,1,0,1,0
0.192307692,0,0.026315789,0.0025,1,0,0,1
0.051282051,0,0.026315789,0.04625,0,0,0,1
0.012820513,1,0.026315789,0.00125,1,1,1,1
0.346153846,0,0.421052632,0.0025,1,0,0,1
0.230769231,1,0.684210526,0.1475,0,0,1,1
0.128205128,1,0.368421053,0.02625,1,1,0,1
0.423076923,0,0.210526316,0.0325,1,1,0,1
0.217948718,0,0.026315789,0.00125,1,0,1,1
0.243589744,1,0.026315789,0,1,0,1,1
0.448717949,0,0,0.00125,1,1,1,1
0.512820513,0,0,0.0025,1,0,1,0
0.217948718,1,0.131578947,0.00375,1,1,1,1
0.025641026,0,0,0.00125,1,0,1,0
0.461538462,1,0.052631579,0.0375,1,0,1,1
0.525641026,0,0.105263158,0.00125,1,1,0,1
0.243589744,0,0.342105263,0.0025,1,0,1,1
0.141025641,1,0.105263158,0.005,1,0,1,1
0.064102564,0,0.052631579,0.0075,1,1,0,1
0.064102564,0,0.026315789,0.00125,1,0,0,1
0.128205128,1,0.105263158,0.00125,1,1,0,1
0.358974359,0,0,0.00125,1,1,1,1
0.051282051,1,0,0.0175,1,0,0,1
0.064102564,0,0,0.00125,1,0,1,1
0.551282051,1,0.105263158,0.00375,0,1,0,1
0.166666667,1,0.157894737,0.00125,1,0,0,1
0.102564103,1,0.052631579,0.0025,0,0,0,1
0.128205128,1,0.157894737,0.00125,0,0,0,1
0.461538462,0,0,0.00375,1,0,1,1
