ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
0.508196721,0.1360799,0.005221932,0.17414248,0.063291139,0.105263158,0.105263158,0.75,0.373493976,0.076923077,0.052631579,0.25,0,0.121212121,0.121212121,0,0.201698514,0,0,0.081335314,0.5,0
0.62295082,0.220973783,0.005221932,0.145118734,0.316455696,0,0,0.96,0.554216867,0.269230769,0.368421053,0.29,0.083333333,0.03030303,0.03030303,0.168103448,0.180467091,0.125,0.136363636,0.055555556,0.73,1
0.540983607,0.468164794,0.018276762,0.290237467,0.329113924,0,0,0.96,0.060240964,0.25,0.052631579,0.23,0.333333333,0,0,0.206896552,0.006369427,0.0625,0.045454545,0.055555556,0.5,1
0.409836066,0.305867665,0.005221932,0.153034301,0.379746835,0,0,0.94,0.012048193,0.307692308,0.210526316,0.34,0.375,0,0,0.267241379,0.148619958,0.15625,0.045454545,0.111111111,0.89,0
0.393442623,0.319600499,0.002610966,0.303430079,0.518987342,0.105263158,0.105263158,0.91,0.012048193,0.182692308,0.157894737,0.18,0,0.03030303,0.03030303,0.051724138,0.149066713,0.1875,0.045454545,0.111111111,0.38,0
0.737704918,0.303370787,0.031331593,0.034300792,0.050632911,0,0,1,1,0.105769231,0,0.5,0.625,0,0,0,0.152866242,0,0.045454545,0,0.5,0
0.360655738,0.377028714,0.002610966,0.224274406,0.455696203,0.052631579,0,0.8,0.228915663,0.384615385,0.421052632,0.3,0,0.060606061,0.060606061,0.185344828,0.141223485,0.4375,0,0.166666667,0.75,1
0.524590164,0.013732834,0.010443864,0.01055409,0.037974684,0.052631579,0.052631579,1,1,0.028846154,0.105263158,0.67,1,0,0,0.310344828,0.208067941,0.03125,0.045454545,0,1,0
0.37704918,0.147315855,0.01305483,0.131926121,0.392405063,0.052631579,0.052631579,0.97,0.084337349,0.346153846,0.105263158,0.54,1,0.015151515,0.015151515,0.280172414,0.142250531,0.21875,0.136363636,0.111111111,0.69,0
0.655737705,0.188514357,0.007832898,0.029023747,0.088607595,0,0,1,1,0.134615385,0.157894737,0.29,0.083333333,0.03030303,0.03030303,0.047413793,0.208067941,0.09375,0,0,0.8,1
