,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
original,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes
sol0,-,-,critical/other existing credit,business,1382.0,100<=X<500,4<=X<7,-,male single,-,1.0,-,26.0,-,own,2.0,-,-,yes,
original,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes
sol0,no checking,9.0,-,furniture/equipment,1388.0,<100,-,-,-,-,2.0,-,26.0,-,-,-,-,-,-,
sol1,0<=X<200,-,-,-,1355.0,<100,<1,3.0,-,-,-,car,-,-,own,-,unskilled resident,-,yes,
sol2,no checking,15.0,-,radio/tv,1386.0,-,-,-,male mar/wid,-,2.0,-,40.0,-,-,-,-,-,yes,
original,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes
sol0,0<=X<200,-,-,-,1355.0,<100,<1,3.0,-,-,-,car,-,-,own,-,unskilled resident,-,yes,
sol1,no checking,12.0,-,-,1386.0,500<=X<1000,-,2.0,-,-,2.0,life insurance,26.0,-,own,-,-,-,-,
sol2,no checking,11.0,critical/other existing credit,-,1393.0,<100,<1,-,-,-,-,car,35.0,-,own,2.0,high qualif/self emp/mgmt,-,-,
