,duration,credit_amount,installment_commitment,age,residence_since,existing_credits,num_dependents,checking_status,credit_history,employment,foreign_worker,housing,job,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,savings_status
original,24.0,1371.26,4.0,25.0,4.0,1.0,1.0,<0,existing paid,1<=X<4,yes,rent,skilled,none,none,none,female div/dep/mar,real estate,new car,no known savings
sol0,-,-7288.99,2.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
original,24.0,1371.26,4.0,25.0,4.0,1.0,1.0,<0,existing paid,1<=X<4,yes,rent,skilled,none,none,none,female div/dep/mar,real estate,new car,no known savings
sol0,-,-16721.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
original,24.0,1371.26,4.0,25.0,4.0,1.0,1.0,<0,existing paid,1<=X<4,yes,rent,skilled,none,none,none,female div/dep/mar,real estate,new car,no known savings
sol0,-,-16721.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sol1,23.73,-16488.26,-,28.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sol2,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
original,24.0,1371.26,4.0,25.0,4.0,1.0,1.0,<0,existing paid,1<=X<4,yes,rent,skilled,none,none,none,female div/dep/mar,real estate,new car,no known savings
sol0,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sol1,-,-,-,163.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sol2,26.2,-,-,165.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
original,24.0,1371.26,4.0,25.0,4.0,1.0,1.0,<0,existing paid,1<=X<4,yes,rent,skilled,none,none,none,female div/dep/mar,real estate,new car,no known savings
sol0,15.0,1402.6,2.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,car,-,<100
sol1,22.0,1283.52,-,-,-,-,-,no checking,-,4<=X<7,-,-,-,-,-,-,-,life insurance,-,-
sol2,12.0,1893.04,-,29.0,-,-,-,-,-,-,-,own,-,guarantor,-,yes,-,life insurance,-,<100
original,24.0,1371.26,4.0,25.0,4.0,1.0,1.0,<0,existing paid,1<=X<4,yes,rent,skilled,none,none,none,female div/dep/mar,real estate,new car,no known savings
sol0,-,-,2.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,car,-,<100
sol1,-,-,-,-,-,-,-,no checking,-,4<=X<7,-,-,-,-,-,-,-,life insurance,-,-
sol2,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,car,-,<100
