,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
original,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes
sol0,no checking,9.0,-,furniture/equipment,1388.0,<100,-,-,-,-,2.0,-,26.0,-,-,-,-,-,-,-
original,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes
sol0,-,15.0,-,-,1403.0,<100,-,2.0,-,-,-,car,28.0,-,-,-,-,-,-,-
sol1,no checking,9.0,-,furniture/equipment,1388.0,<100,-,-,-,-,2.0,-,26.0,-,-,-,-,-,-,-
sol2,0<=X<200,11.0,critical/other existing credit,-,1322.0,>=1000,-,-,-,-,-,car,40.0,-,own,2.0,-,-,-,-
original,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes
sol0,0<=X<200,4.0,delayed previously,-,276.0,>=1000,>=7,-,-,-,-,-,40.0,bank,-,-,-,-,-,-
sol1,-,15.0,-,-,1403.0,<100,-,2.0,-,-,-,car,28.0,-,-,-,-,-,-,-
sol2,no checking,4.0,delayed previously,-,1322.0,>=1000,-,-,-,co applicant,-,-,31.0,-,own,-,unemp/unskilled non res,-,-,-
